empty,4096,0,2757,2686,2685,2541
empty,16384,0,4077,2674,2658,3536
empty,65536,0,13241,10307,10307,21077
empty,262144,0,42812,42239,41979,41552
empty,524288,0,82209,82154,82478,82127
1/4,4096,1024,1095,1820,1800,632
1/4,16384,4096,4387,7491,7145,2703
1/4,65536,16384,17856,30184,29293,10090
1/4,262144,65536,70660,113243,114191,40753
1/4,524288,131072,139363,227974,227766,79623
1/2,4096,2048,2227,3585,2411,1216
1/2,16384,8192,9250,15094,9370,6055
1/2,65536,32768,36529,58447,39301,21569
1/2,262144,131072,144303,230651,153109,79766
1/2,524288,262144,284716,459346,305596,161511
3/4,4096,3072,3220,5289,2536,1854
3/4,16384,12288,12917,21669,9886,7560
3/4,65536,49152,52425,84515,40059,29181
3/4,262144,196608,207885,338453,165485,115802
3/4,524288,393216,413418,676994,316149,229901
full,4096,4096,4132,7198,3616,2772
full,16384,16384,17131,28740,15117,11030
full,65536,65536,66992,114646,59330,45160
full,262144,262144,262853,455859,231925,176150
full,524288,524288,540639,910853,461862,351302
rand,4096,896,1117,1792,983,751
rand,16384,3136,3938,6410,3521,2549
rand,65536,14208,18892,29680,15962,11385
rand,262144,51904,67221,104382,58606,45026
rand,524288,103424,130542,207050,118085,84712
rand2,4096,3968,4033,7235,3198,2397
rand2,16384,15360,16767,27220,13650,9150
rand2,65536,61888,63610,110058,51172,37516
rand2,262144,246400,249307,434637,200026,146489
rand2,524288,491712,496344,866872,398533,291118
