benchmark for testdata/ada_1M_000perc.txt
rdtsc_overhead set to 28
lookup_ada_pext               	:    33.205 cycle/op (best)   33.448 cycle/op (avg)
lookup_ada_hash1              	:    75.383 cycle/op (best)   75.500 cycle/op (avg)
lookup_ada_hash2              	:    72.777 cycle/op (best)   72.861 cycle/op (avg)
lookup_ada_hash3              	:    55.628 cycle/op (best)   55.687 cycle/op (avg)
lookup_ada_hash_sum0          	:    47.635 cycle/op (best)   47.733 cycle/op (avg)
lookup_ada_hash_sumN          	:    50.684 cycle/op (best)   50.757 cycle/op (avg)
lookup_ada_hash_djb2          	:    41.224 cycle/op (best)   41.450 cycle/op (avg)
lookup_ada_hash_sdb           	:    39.907 cycle/op (best)   40.040 cycle/op (avg)
lookup_ada_split              	:    61.813 cycle/op (best)   61.870 cycle/op (avg)
benchmark for testdata/ada_1M_010perc.txt
lookup_ada_pext               	:    36.362 cycle/op (best)   36.620 cycle/op (avg)
lookup_ada_hash1              	:    75.900 cycle/op (best)   76.036 cycle/op (avg)
lookup_ada_hash2              	:    76.806 cycle/op (best)   76.963 cycle/op (avg)
lookup_ada_hash3              	:    60.561 cycle/op (best)   60.625 cycle/op (avg)
lookup_ada_hash_sum0          	:    53.244 cycle/op (best)   53.355 cycle/op (avg)
lookup_ada_hash_sumN          	:    57.928 cycle/op (best)   58.054 cycle/op (avg)
lookup_ada_hash_djb2          	:    45.627 cycle/op (best)   45.773 cycle/op (avg)
lookup_ada_hash_sdb           	:    44.264 cycle/op (best)   44.344 cycle/op (avg)
lookup_ada_split              	:    68.902 cycle/op (best)   68.961 cycle/op (avg)
benchmark for testdata/ada_1M_025perc.txt
lookup_ada_pext               	:    41.471 cycle/op (best)   41.811 cycle/op (avg)
lookup_ada_hash1              	:    77.628 cycle/op (best)   77.719 cycle/op (avg)
lookup_ada_hash2              	:    76.730 cycle/op (best)   76.825 cycle/op (avg)
lookup_ada_hash3              	:    67.571 cycle/op (best)   67.648 cycle/op (avg)
lookup_ada_hash_sum0          	:    60.643 cycle/op (best)   61.662 cycle/op (avg)
lookup_ada_hash_sumN          	:    61.911 cycle/op (best)   61.987 cycle/op (avg)
lookup_ada_hash_djb2          	:    51.661 cycle/op (best)   51.860 cycle/op (avg)
lookup_ada_hash_sdb           	:    50.903 cycle/op (best)   51.226 cycle/op (avg)
lookup_ada_split              	:    67.497 cycle/op (best)   67.543 cycle/op (avg)
benchmark for testdata/ada_1M_050perc.txt
lookup_ada_pext               	:    45.672 cycle/op (best)   45.960 cycle/op (avg)
lookup_ada_hash1              	:    73.327 cycle/op (best)   73.396 cycle/op (avg)
lookup_ada_hash2              	:    72.234 cycle/op (best)   72.408 cycle/op (avg)
lookup_ada_hash3              	:    68.786 cycle/op (best)   69.000 cycle/op (avg)
lookup_ada_hash_sum0          	:    69.099 cycle/op (best)   69.177 cycle/op (avg)
lookup_ada_hash_sumN          	:    70.017 cycle/op (best)   70.072 cycle/op (avg)
lookup_ada_hash_djb2          	:    60.320 cycle/op (best)   60.485 cycle/op (avg)
lookup_ada_hash_sdb           	:    61.034 cycle/op (best)   61.073 cycle/op (avg)
lookup_ada_split              	:    67.690 cycle/op (best)   67.737 cycle/op (avg)
benchmark for testdata/ada_1M_075perc.txt
lookup_ada_pext               	:    39.568 cycle/op (best)   39.834 cycle/op (avg)
lookup_ada_hash1              	:    64.660 cycle/op (best)   64.765 cycle/op (avg)
lookup_ada_hash2              	:    64.012 cycle/op (best)   64.094 cycle/op (avg)
