std,128,1048576,771
SSE,128,1048576,313
AVX2,128,1048576,190
binsearch,128,1048576,2
std,256,1048576,772
SSE,256,1048576,316
AVX2,256,1048576,192
binsearch,256,1048576,8
std,384,1048576,774
SSE,384,1048576,318
AVX2,384,1048576,193
binsearch,384,1048576,24
std,512,1048576,775
SSE,512,1048576,320
AVX2,512,1048576,195
binsearch,512,1048576,38
std,640,1048576,780
SSE,640,1048576,324
AVX2,640,1048576,197
binsearch,640,1048576,50
std,768,1048576,780
SSE,768,1048576,326
AVX2,768,1048576,199
binsearch,768,1048576,59
std,896,1048576,782
SSE,896,1048576,329
AVX2,896,1048576,201
binsearch,896,1048576,70
std,1024,1048576,784
SSE,1024,1048576,331
AVX2,1024,1048576,203
binsearch,1024,1048576,80
std,1152,1048576,785
SSE,1152,1048576,334
AVX2,1152,1048576,204
binsearch,1152,1048576,90
std,1280,1048576,786
SSE,1280,1048576,336
AVX2,1280,1048576,206
binsearch,1280,1048576,98
std,2560,1048576,801
SSE,2560,1048576,361
AVX2,2560,1048576,224
binsearch,2560,1048576,178
std,6400,1048576,844
SSE,6400,1048576,438
AVX2,6400,1048576,274
binsearch,6400,1048576,364
std,1024,1048576,784
SSE,1024,1048576,331
AVX2,1024,1048576,203
binsearch,1024,1048576,81
std,2048,1048576,796
SSE,2048,1048576,351
AVX2,2048,1048576,217
binsearch,2048,1048576,148
std,3072,1048576,807
SSE,3072,1048576,372
AVX2,3072,1048576,230
binsearch,3072,1048576,206
std,4096,1048576,818
SSE,4096,1048576,391
AVX2,4096,1048576,244
binsearch,4096,1048576,258
std,5120,1048576,830
SSE,5120,1048576,412
AVX2,5120,1048576,259
binsearch,5120,1048576,305
std,6144,1048576,841
SSE,6144,1048576,431
AVX2,6144,1048576,271
binsearch,6144,1048576,351
std,7168,1048576,853
SSE,7168,1048576,451
AVX2,7168,1048576,285
binsearch,7168,1048576,396
std,8192,1048576,864
SSE,8192,1048576,471
AVX2,8192,1048576,299
binsearch,8192,1048576,438
std,9216,1048576,875
SSE,9216,1048576,490
AVX2,9216,1048576,312
binsearch,9216,1048576,480
std,10240,1048576,886
SSE,10240,1048576,510
AVX2,10240,1048576,325
binsearch,10240,1048576,520
std,20480,1048576,995
SSE,20480,1048576,704
AVX2,20480,1048576,459
binsearch,20480,1048576,880
std,51200,1048576,1302
SSE,51200,1048576,1292
AVX2,51200,1048576,881
binsearch,51200,1048576,1811
