element count 4096
rdtsc_overhead set to 83
scalar                        	:     0.372 cycle/op (best)    0.565 cycle/op (avg)
scalar (C++)                  	:     0.373 cycle/op (best)    0.576 cycle/op (avg)
SSE                           	:     0.322 cycle/op (best)    0.343 cycle/op (avg)
SSE (v2)                      	:     0.313 cycle/op (best)    0.314 cycle/op (avg)
SSE (sadbw)                   	:     0.145 cycle/op (best)    0.146 cycle/op (avg)
SSE (sadbw, unrolled)         	:     0.145 cycle/op (best)    0.145 cycle/op (avg)
SSE (16bit accu)              	:     0.206 cycle/op (best)    0.209 cycle/op (avg)
SSE (16bit accu, v2)          	:     0.173 cycle/op (best)    0.177 cycle/op (avg)
SSE (16bit accu, v2, unrolled)	:     0.120 cycle/op (best)    0.121 cycle/op (avg)
SSE (8bit accu)               	:     0.152 cycle/op (best)    0.154 cycle/op (avg)
element count 16384
scalar                        	:     0.375 cycle/op (best)    0.380 cycle/op (avg)
scalar (C++)                  	:     0.375 cycle/op (best)    0.378 cycle/op (avg)
SSE                           	:     0.326 cycle/op (best)    0.329 cycle/op (avg)
SSE (v2)                      	:     0.317 cycle/op (best)    0.320 cycle/op (avg)
SSE (sadbw)                   	:     0.152 cycle/op (best)    0.154 cycle/op (avg)
SSE (sadbw, unrolled)         	:     0.152 cycle/op (best)    0.153 cycle/op (avg)
SSE (16bit accu)              	:     0.214 cycle/op (best)    0.216 cycle/op (avg)
SSE (16bit accu, v2)          	:     0.177 cycle/op (best)    0.179 cycle/op (avg)
SSE (16bit accu, v2, unrolled)	:     0.128 cycle/op (best)    0.128 cycle/op (avg)
SSE (8bit accu)               	:     0.160 cycle/op (best)    0.162 cycle/op (avg)
element count 32768
scalar                        	:     0.376 cycle/op (best)    0.378 cycle/op (avg)
scalar (C++)                  	:     0.376 cycle/op (best)    0.377 cycle/op (avg)
SSE                           	:     0.327 cycle/op (best)    0.328 cycle/op (avg)
SSE (v2)                      	:     0.292 cycle/op (best)    0.296 cycle/op (avg)
SSE (sadbw)                   	:     0.154 cycle/op (best)    0.155 cycle/op (avg)
SSE (sadbw, unrolled)         	:     0.154 cycle/op (best)    0.155 cycle/op (avg)
SSE (16bit accu)              	:     0.216 cycle/op (best)    0.217 cycle/op (avg)
SSE (16bit accu, v2)          	:     0.180 cycle/op (best)    0.182 cycle/op (avg)
SSE (16bit accu, v2, unrolled)	:     0.140 cycle/op (best)    0.140 cycle/op (avg)
SSE (8bit accu)               	:     0.164 cycle/op (best)    0.165 cycle/op (avg)
element count 4096
rdtsc_overhead set to 92
scalar                        	:     0.370 cycle/op (best)    0.536 cycle/op (avg)
scalar (C++)                  	:     0.371 cycle/op (best)    0.374 cycle/op (avg)
SSE                           	:     0.320 cycle/op (best)    0.326 cycle/op (avg)
SSE (v2)                      	:     0.311 cycle/op (best)    0.311 cycle/op (avg)
SSE (sadbw)                   	:     0.142 cycle/op (best)    0.148 cycle/op (avg)
SSE (sadbw, unrolled)         	:     0.141 cycle/op (best)    0.143 cycle/op (avg)
SSE (16bit accu)              	:     0.204 cycle/op (best)    0.210 cycle/op (avg)
SSE (16bit accu, v2)          	:     0.170 cycle/op (best)    0.174 cycle/op (avg)
SSE (16bit accu, v2, unrolled)	:     0.115 cycle/op (best)    0.117 cycle/op (avg)
SSE (8bit accu)               	:     0.149 cycle/op (best)    0.152 cycle/op (avg)
element count 16384
scalar                        	:     0.375 cycle/op (best)    0.377 cycle/op (avg)
scalar (C++)                  	:     0.375 cycle/op (best)    0.377 cycle/op (avg)
SSE                           	:     0.325 cycle/op (best)    0.327 cycle/op (avg)
SSE (v2)                      	:     0.316 cycle/op (best)    0.318 cycle/op (avg)
SSE (sadbw)                   	:     0.152 cycle/op (best)    0.153 cycle/op (avg)
SSE (sadbw, unrolled)         	:     0.152 cycle/op (best)    0.153 cycle/op (avg)
SSE (16bit accu)              	:     0.214 cycle/op (best)    0.215 cycle/op (avg)
SSE (16bit accu, v2)          	:     0.176 cycle/op (best)    0.177 cycle/op (avg)
SSE (16bit accu, v2, unrolled)	:     0.126 cycle/op (best)    0.127 cycle/op (avg)
SSE (8bit accu)               	:     0.159 cycle/op (best)    0.160 cycle/op (avg)
element count 32768
scalar                        	:     0.375 cycle/op (best)    0.377 cycle/op (avg)
scalar (C++)                  	:     0.375 cycle/op (best)    0.377 cycle/op (avg)
SSE                           	:     0.326 cycle/op (best)    0.328 cycle/op (avg)
SSE (v2)                      	:     0.292 cycle/op (best)    0.293 cycle/op (avg)
SSE (sadbw)                   	:     0.153 cycle/op (best)    0.154 cycle/op (avg)
SSE (sadbw, unrolled)         	:     0.153 cycle/op (best)    0.155 cycle/op (avg)
SSE (16bit accu)              	:     0.215 cycle/op (best)    0.217 cycle/op (avg)
SSE (16bit accu, v2)          	:     0.180 cycle/op (best)    0.181 cycle/op (avg)
