testcase persan
rdtsc_overhead set to 32
AVX2 uppercase [plain]                  	:     1.947 cycle/op (best)    1.979 cycle/op (avg)
AVX2 uppercase [compressed]             	:     4.588 cycle/op (best)    4.619 cycle/op (avg)
AVX2 uppercase [compressed 4 x unrolled]	:     4.560 cycle/op (best)    4.575 cycle/op (avg)
AVX2 uppercase [compressed v3]          	:     4.828 cycle/op (best)    4.856 cycle/op (avg)
AVX2 uppercase [compressed v4]          	:     2.074 cycle/op (best)    2.097 cycle/op (avg)
AVX2 uppercase [compressed v5]          	:     2.200 cycle/op (best)    2.226 cycle/op (avg)
scalar uppercase [plain]                	:     2.240 cycle/op (best)    2.260 cycle/op (avg)
scalar uppercase [compressed v1]        	:     8.897 cycle/op (best)    9.396 cycle/op (avg)
scalar uppercase [compressed v2]        	:     7.163 cycle/op (best)    7.450 cycle/op (avg)
scalar uppercase [compressed v3]        	:     3.428 cycle/op (best)    3.441 cycle/op (avg)
c++ uppercase                           	:    12.325 cycle/op (best)   12.663 cycle/op (avg)
AVX512 uppercase [compressed v6]        	:     1.090 cycle/op (best)    1.108 cycle/op (avg)
testcase english
AVX2 uppercase [plain]                  	:     0.873 cycle/op (best)    0.895 cycle/op (avg)
AVX2 uppercase [compressed]             	:     0.935 cycle/op (best)    0.971 cycle/op (avg)
AVX2 uppercase [compressed 4 x unrolled]	:     0.863 cycle/op (best)    0.879 cycle/op (avg)
AVX2 uppercase [compressed v3]          	:     0.982 cycle/op (best)    0.994 cycle/op (avg)
AVX2 uppercase [compressed v4]          	:     0.904 cycle/op (best)    0.920 cycle/op (avg)
AVX2 uppercase [compressed v5]          	:     0.918 cycle/op (best)    0.934 cycle/op (avg)
scalar uppercase [plain]                	:     2.263 cycle/op (best)    2.276 cycle/op (avg)
scalar uppercase [compressed v1]        	:     9.749 cycle/op (best)   10.029 cycle/op (avg)
scalar uppercase [compressed v2]        	:     4.062 cycle/op (best)    4.167 cycle/op (avg)
scalar uppercase [compressed v3]        	:     3.439 cycle/op (best)    3.452 cycle/op (avg)
c++ uppercase                           	:    18.990 cycle/op (best)   19.209 cycle/op (avg)
AVX512 uppercase [compressed v6]        	:     1.934 cycle/op (best)    1.946 cycle/op (avg)
testcase french
AVX2 uppercase [plain]                  	:     1.825 cycle/op (best)    1.877 cycle/op (avg)
AVX2 uppercase [compressed]             	:     2.273 cycle/op (best)    2.326 cycle/op (avg)
AVX2 uppercase [compressed 4 x unrolled]	:     2.212 cycle/op (best)    2.235 cycle/op (avg)
AVX2 uppercase [compressed v3]          	:     1.594 cycle/op (best)    2.376 cycle/op (avg)
AVX2 uppercase [compressed v4]          	:     1.286 cycle/op (best)    1.338 cycle/op (avg)
AVX2 uppercase [compressed v5]          	:     1.405 cycle/op (best)    1.431 cycle/op (avg)
scalar uppercase [plain]                	:     1.414 cycle/op (best)    1.422 cycle/op (avg)
scalar uppercase [compressed v1]        	:     6.264 cycle/op (best)    6.520 cycle/op (avg)
scalar uppercase [compressed v2]        	:     2.536 cycle/op (best)    2.661 cycle/op (avg)
scalar uppercase [compressed v3]        	:     2.147 cycle/op (best)    2.152 cycle/op (avg)
c++ uppercase                           	:    12.731 cycle/op (best)   12.895 cycle/op (avg)
AVX512 uppercase [compressed v6]        	:     1.086 cycle/op (best)    1.109 cycle/op (avg)
testcase japanese
AVX2 uppercase [plain]                  	:     1.183 cycle/op (best)    1.209 cycle/op (avg)
AVX2 uppercase [compressed]             	:     2.738 cycle/op (best)    2.751 cycle/op (avg)
AVX2 uppercase [compressed 4 x unrolled]	:     2.739 cycle/op (best)    2.749 cycle/op (avg)
AVX2 uppercase [compressed v3]          	:     2.881 cycle/op (best)    2.894 cycle/op (avg)
AVX2 uppercase [compressed v4]          	:     1.246 cycle/op (best)    1.261 cycle/op (avg)
AVX2 uppercase [compressed v5]          	:     1.322 cycle/op (best)    1.333 cycle/op (avg)
scalar uppercase [plain]                	:     1.404 cycle/op (best)    1.412 cycle/op (avg)
scalar uppercase [compressed v1]        	:     4.814 cycle/op (best)    4.982 cycle/op (avg)
scalar uppercase [compressed v2]        	:     3.643 cycle/op (best)    3.758 cycle/op (avg)
scalar uppercase [compressed v3]        	:     2.142 cycle/op (best)    2.147 cycle/op (avg)
c++ uppercase                           	:     6.635 cycle/op (best)    6.879 cycle/op (avg)
AVX512 uppercase [compressed v6]        	:     0.705 cycle/op (best)    0.722 cycle/op (avg)
testcase german
AVX2 uppercase [plain]                  	:     0.503 cycle/op (best)    0.526 cycle/op (avg)
AVX2 uppercase [compressed]             	:     0.877 cycle/op (best)    0.887 cycle/op (avg)
AVX2 uppercase [compressed 4 x unrolled]	:     0.908 cycle/op (best)    0.918 cycle/op (avg)
AVX2 uppercase [compressed v3]          	:     0.938 cycle/op (best)    0.952 cycle/op (avg)
AVX2 uppercase [compressed v4]          	:     0.618 cycle/op (best)    0.631 cycle/op (avg)
AVX2 uppercase [compressed v5]          	:     0.647 cycle/op (best)    0.711 cycle/op (avg)
scalar uppercase [plain]                	:     1.424 cycle/op (best)    1.429 cycle/op (avg)
scalar uppercase [compressed v1]        	:     6.400 cycle/op (best)    6.548 cycle/op (avg)
