testcase chinese
rdtsc_overhead set to 20
AVX2 uppercase [plain]                  	:     0.470 cycle/op (best)    0.502 cycle/op (avg)
AVX2 uppercase [compressed]             	:     0.807 cycle/op (best)    0.821 cycle/op (avg)
AVX2 uppercase [compressed 4 x unrolled]	:     0.963 cycle/op (best)    0.976 cycle/op (avg)
AVX2 uppercase [compressed v3]          	:     0.859 cycle/op (best)    0.870 cycle/op (avg)
AVX2 uppercase [compressed v4]          	:     0.575 cycle/op (best)    0.598 cycle/op (avg)
AVX2 uppercase [compressed v5]          	:     0.686 cycle/op (best)    0.696 cycle/op (avg)
AVX2 lowercase [compressed v3]          	:     0.784 cycle/op (best)    0.797 cycle/op (avg)
scalar uppercase [plain]                	:     0.892 cycle/op (best)    0.901 cycle/op (avg)
scalar uppercase [compressed v1]        	:     3.850 cycle/op (best)    3.922 cycle/op (avg)
scalar uppercase [compressed v2]        	:     1.410 cycle/op (best)    1.448 cycle/op (avg)
scalar uppercase [compressed v3]        	:     1.394 cycle/op (best)    1.418 cycle/op (avg)
scalar lowercase [plain]                	:     0.903 cycle/op (best)    0.928 cycle/op (avg)
scalar lowercase [compressed v1]        	:     3.714 cycle/op (best)    3.781 cycle/op (avg)
scalar lowercase [compressed v2]        	:     1.681 cycle/op (best)    1.729 cycle/op (avg)
scalar lowercase [compressed v3]        	:     1.366 cycle/op (best)    1.372 cycle/op (avg)
c++ uppercase                           	:     5.668 cycle/op (best)    5.755 cycle/op (avg)
c++ lowercase                           	:     4.031 cycle/op (best)    4.082 cycle/op (avg)
testcase russian
AVX2 uppercase [plain]                  	:     0.589 cycle/op (best)    0.607 cycle/op (avg)
AVX2 uppercase [compressed]             	:     1.143 cycle/op (best)    1.158 cycle/op (avg)
AVX2 uppercase [compressed 4 x unrolled]	:     1.440 cycle/op (best)    1.451 cycle/op (avg)
AVX2 uppercase [compressed v3]          	:     1.233 cycle/op (best)    1.246 cycle/op (avg)
AVX2 uppercase [compressed v4]          	:     0.755 cycle/op (best)    0.766 cycle/op (avg)
AVX2 uppercase [compressed v5]          	:     0.924 cycle/op (best)    0.936 cycle/op (avg)
AVX2 lowercase [compressed v3]          	:     1.151 cycle/op (best)    1.164 cycle/op (avg)
scalar uppercase [plain]                	:     0.884 cycle/op (best)    0.888 cycle/op (avg)
scalar uppercase [compressed v1]        	:     4.584 cycle/op (best)    4.621 cycle/op (avg)
scalar uppercase [compressed v2]        	:     1.385 cycle/op (best)    1.392 cycle/op (avg)
scalar uppercase [compressed v3]        	:     1.393 cycle/op (best)    1.402 cycle/op (avg)
scalar lowercase [plain]                	:     0.885 cycle/op (best)    0.888 cycle/op (avg)
scalar lowercase [compressed v1]        	:     4.168 cycle/op (best)    4.232 cycle/op (avg)
scalar lowercase [compressed v2]        	:     1.453 cycle/op (best)    1.460 cycle/op (avg)
scalar lowercase [compressed v3]        	:     1.367 cycle/op (best)    1.378 cycle/op (avg)
c++ uppercase                           	:     9.389 cycle/op (best)    9.452 cycle/op (avg)
c++ lowercase                           	:     4.624 cycle/op (best)    4.662 cycle/op (avg)
testcase french
AVX2 uppercase [plain]                  	:     0.600 cycle/op (best)    0.625 cycle/op (avg)
AVX2 uppercase [compressed]             	:     0.851 cycle/op (best)    0.864 cycle/op (avg)
AVX2 uppercase [compressed 4 x unrolled]	:     0.550 cycle/op (best)    0.568 cycle/op (avg)
AVX2 uppercase [compressed v3]          	:     0.767 cycle/op (best)    0.791 cycle/op (avg)
AVX2 uppercase [compressed v4]          	:     0.650 cycle/op (best)    0.673 cycle/op (avg)
AVX2 uppercase [compressed v5]          	:     0.726 cycle/op (best)    0.746 cycle/op (avg)
AVX2 lowercase [compressed v3]          	:     0.639 cycle/op (best)    0.664 cycle/op (avg)
scalar uppercase [plain]                	:     0.883 cycle/op (best)    0.890 cycle/op (avg)
scalar uppercase [compressed v1]        	:     4.357 cycle/op (best)    4.401 cycle/op (avg)
scalar uppercase [compressed v2]        	:     1.348 cycle/op (best)    1.361 cycle/op (avg)
scalar uppercase [compressed v3]        	:     1.393 cycle/op (best)    1.408 cycle/op (avg)
scalar lowercase [plain]                	:     0.883 cycle/op (best)    0.887 cycle/op (avg)
scalar lowercase [compressed v1]        	:     4.501 cycle/op (best)    4.590 cycle/op (avg)
scalar lowercase [compressed v2]        	:     1.399 cycle/op (best)    1.429 cycle/op (avg)
scalar lowercase [compressed v3]        	:     1.365 cycle/op (best)    1.370 cycle/op (avg)
c++ uppercase                           	:     9.478 cycle/op (best)    9.592 cycle/op (avg)
c++ lowercase                           	:     4.684 cycle/op (best)    4.713 cycle/op (avg)
testcase german
AVX2 uppercase [plain]                  	:     0.290 cycle/op (best)    0.309 cycle/op (avg)
